ABflag,srcNo,dstNo,2,ASNodes,BSNodes
0,213,70,2,17,19
0,216,70,2,15,20
0,217,132,2,15,21
0,218,130,2,16,20
0,219,81,2,15,24
0,221,134,2,16,22
0,221,136,2,4,11
0,221,73,2,17,18
0,228,332,2,4,7
0,23,0,2,9,13
0,23,0,2,9,13
0,23,0,2,9,13
0,23,1,2,10,13
0,23,1,2,10,13
0,23,1,2,10,13
0,23,11,2,10,12
0,23,11,2,10,12
0,23,11,2,10,12
0,24,29,2,9,12
0,24,29,2,9,12
0,24,29,2,9,12
0,24,31,2,5,10
0,24,5,2,10,12
0,24,7,2,10,12
0,24,84,2,2,6
0,25,29,2,8,11
0,25,29,2,8,11
0,25,30,2,6,8
0,25,30,2,6,8
0,25,32,2,6,8
0,25,32,2,6,8
0,26,29,2,11,12
0,26,29,2,11,12
0,26,30,2,4,5
0,26,31,2,4,11
0,26,31,2,4,11
0,26,32,2,4,11
0,26,32,2,4,11
0,26,5,2,9,13
0,26,6,2,13,14
0,26,6,2,13,14
0,26,7,2,9,13
0,26,7,2,9,13
0,268,63,2,14,17
0,27,30,2,3,4
0,27,30,2,3,4
0,27,30,2,3,4
0,27,31,2,3,11
0,27,31,2,3,11
0,27,32,2,3,11
0,27,5,2,9,13
0,27,5,2,9,13
0,27,7,2,9,13
0,27,7,2,9,13
0,27,74,2,9,11
0,28,1,2,13,17
0,28,17,2,2,3
0,28,17,2,2,3
0,28,18,2,3,4
0,28,225,2,5,10
0,28,24,2,3,4
0,28,26,2,2,3
0,28,26,2,2,3
0,28,26,2,2,3
0,28,26,2,2,3
0,283,333,2,17,18
0,287,66,2,7,8
0,29,44,2,2,4
0,29,53,2,4,5
0,3,13,2,8,13
0,3,14,2,12,13
0,3,14,2,12,13
0,3,15,2,10,13
0,3,15,2,10,13
0,3,15,2,10,13
0,3,15,2,10,13
0,3,15,2,10,13
0,3,15,2,10,13
0,3,20,2,12,13
0,3,20,2,12,13
0,3,20,2,12,13
0,3,20,2,12,13
0,3,20,2,12,13
0,3,22,2,12,13
0,3,22,2,12,13
0,3,23,2,12,13
0,3,23,2,12,13
0,3,30,2,6,11
0,3,30,2,6,11
0,3,30,2,6,11
0,3,30,2,6,11
0,3,30,2,6,11
0,3,31,2,6,12
0,3,31,2,6,12
0,3,31,2,6,12
0,3,31,2,6,12
0,3,31,2,6,12
0,3,32,2,6,12
0,3,32,2,6,12
0,3,32,2,6,12
0,3,32,2,6,12
0,3,32,2,6,12
0,3,32,2,6,12
0,3,4,2,12,13
0,3,5,2,9,13
0,3,5,2,9,13
0,3,5,2,9,13
0,3,6,2,12,14
0,3,6,2,12,14
0,3,7,2,9,13
0,3,7,2,9,13
0,30,215,2,7,10
0,30,9,2,8,10
0,30,9,2,8,10
0,30,9,2,8,10
0,303,216,2,9,10
0,306,82,2,5,7
0,31,76,2,8,12
0,31,9,2,10,11
0,319,247,2,8,9
0,32,232,2,4,6
0,32,74,2,8,12
0,32,9,2,9,11
0,326,216,2,8,9
0,326,252,2,6,10
0,328,225,2,6,9
0,328,236,2,5,6
0,33,74,2,9,12
0,331,217,2,4,8
0,338,246,2,6,10
0,354,325,2,5,7
0,362,337,2,5,6
0,37,79,2,12,21
0,378,326,2,4,6
0,38,74,2,8,9
0,381,328,2,4,6
0,381,343,2,4,7
0,386,35,2,3,4
0,4,153,2,18,23
0,40,23,2,2,7
0,401,194,2,17,23
0,41,38,2,4,8
0,418,236,2,7,8
0,42,68,2,5,10
0,44,132,2,5,21
0,456,241,2,5,6
0,469,358,2,13,14
0,47,126,2,4,7
0,47,75,2,5,12
0,48,58,2,5,7
0,49,38,2,6,9
0,5,0,2,8,12
0,5,0,2,8,12
0,5,11,2,6,11
0,5,11,2,6,11
0,5,8,2,6,7
0,50,130,2,16,20
0,50,38,2,7,10
0,50,55,2,5,7
0,50,62,2,4,6
0,51,73,2,4,17
0,51,75,2,4,12
0,52,134,2,15,21
0,532,343,2,7,9
0,54,58,2,7,9
0,54,59,2,7,9
0,541,29,2,280,516
0,55,87,2,22,25
0,56,91,2,13,22
0,56,97,2,8,11
0,59,79,2,10,12
